year,richter,region,deaths,lon,lat
12,7,Australia,6982390.0,149.08,-35.15
1,7,Austria,5991870.0,16.22,48.12
2,7,Austria,5789370.0,16.22,48.12
3,7,Austria,8846670.0,16.22,48.12
4,7,Austria,2867760.0,16.22,48.12
5,7,Austria,2012600.0,16.22,48.12
6,7,Austria,2836910.0,16.22,48.12
7,7,Austria,3331330.0,16.22,48.12
8,7,Austria,2305240.0,16.22,48.12
9,7,Austria,2532540.0,16.22,48.12
10,7,Austria,2945490.0,16.22,48.12
11,7,Austria,2443020.0,16.22,48.12
12,7,Austria,2569410.0,16.22,48.12
1,6,Azerbaijan,430710.0,49.56,40.29
2,6,Azerbaijan,564440.0,49.56,40.29
3,5,Azerbaijan,96170.0,49.56,40.29
4,5,Azerbaijan,95370.0,49.56,40.29
5,5,Azerbaijan,95570.0,49.56,40.29
6,6,Azerbaijan,100560.0,49.56,40.29
7,6,Azerbaijan,119960.0,49.56,40.29
8,6,Azerbaijan,179260.0,49.56,40.29
9,6,Azerbaijan,124610.0,49.56,40.29
10,6,Azerbaijan,106170.0,49.56,40.29
11,5,Azerbaijan,91240.0,49.56,40.29
12,5,Azerbaijan,90730.0,49.56,40.29
1,5,Bahamas,30290.0,-77.2,25.05
2,5,Bahamas,11160.0,-77.2,25.05
3,4,Bahamas,5140.0,-77.2,25.05
4,4,Bahamas,8830.0,-77.2,25.05
5,5,Bahamas,14490.0,-77.2,25.05
6,5,Bahamas,11410.0,-77.2,25.05
7,4,Bahamas,9380.0,-77.2,25.05
8,4,Bahamas,3660.0,-77.2,25.05
9,5,Bahamas,18430.0,-77.2,25.05
10,4,Bahamas,5740.0,-77.2,25.05
11,4,Bahamas,7840.0,-77.2,25.05
12,4,Bahamas,3780.0,-77.2,25.05
1,6,Bahrain,918720.0,50.3,26.1
2,6,Bahrain,711390.0,50.3,26.1
3,6,Bahrain,336730.0,50.3,26.1
4,6,Bahrain,226160.0,50.3,26.1
5,6,Bahrain,250200.0,50.3,26.1
6,6,Bahrain,462910.0,50.3,26.1
7,6,Bahrain,327470.0,50.3,26.1
8,6,Bahrain,208730.0,50.3,26.1
9,6,Bahrain,200830.0,50.3,26.1
10,6,Bahrain,206570.0,50.3,26.1
11,6,Bahrain,171300.0,50.3,26.1
12,6,Bahrain,145740.0,50.3,26.1
1,7,Bangladesh,2150350.0,90.26,23.43
2,6,Bangladesh,547450.0,90.26,23.43
3,6,Bangladesh,186360.0,90.26,23.43
4,6,Bangladesh,146460.0,90.26,23.43
5,6,Bangladesh,134570.0,90.26,23.43
6,6,Bangladesh,325250.0,90.26,23.43
7,6,Bangladesh,281500.0,90.26,23.43
8,6,Bangladesh,161460.0,90.26,23.43
9,6,Bangladesh,217930.0,90.26,23.43
10,6,Bangladesh,158750.0,90.26,23.43
11,6,Bangladesh,101670.0,90.26,23.43
12,6,Bangladesh,104110.0,90.26,23.43
1,6,Barbados,140150.0,-59.3,13.05
2,5,Barbados,59700.0,-59.3,13.05
3,5,Barbados,46330.0,-59.3,13.05
4,5,Barbados,96540.0,-59.3,13.05
5,5,Barbados,89880.0,-59.3,13.05
6,5,Barbados,48410.0,-59.3,13.05
7,5,Barbados,80840.0,-59.3,13.05
8,5,Barbados,61950.0,-59.3,13.05
9,5,Barbados,40400.0,-59.3,13.05
10,5,Barbados,30840.0,-59.3,13.05
11,5,Barbados,34990.0,-59.3,13.05
12,5,Barbados,39470.0,-59.3,13.05
